Group Suite,Ability Name,Effect
La Familia (Unlocked at d6),Tough,(Once Per Episode) Roll Tough on someone else's behalf.
La Familia (Unlocked at d6),Tokens,Spend tokens for other people at a 1:1 exchange rate.
La Familia (Unlocked at d6),Skill Die,(Once Per Episode) Lend a teammate a skill die.
Criminal Conspiracy (Unlocked at d6),Item,"When in a new location, produce a single useful item."
Criminal Conspiracy (Unlocked at d6),Tech,"(Once Per Episode) Once per episode, add your Tech Die to a Sneak Die."
Criminal Conspiracy (Unlocked at d6),Hot,Roll Hot in response to the first attack of an encounter to dissuade an opponent.
Diesel Circus (Unlocked at d8),Injury Advantage,Roll twice on the first roll after an injury.
Diesel Circus (Unlocked at d8),Double Explosion,Doubles your amount of tokens.
Diesel Circus (Unlocked at d8),Drive Check,"On a successful Drive Check, make another skill check."
The Continentals (Unlocked at d8),Wits,Turbo Tokens for Wits help increase the die type.
The Continentals (Unlocked at d8),Hot Checks,Two successful Hot Checks auto-succeeds on stealing from an opponent.
The Continentals (Unlocked at d8),Melee,Lower the DC of a Weapons Checks using melee weapons.
Alpha Squad (Unlocked at d10),Group Explosion,"(Minimum 3 People) In a scene where everyone uses a different skill, reduce the range to Blow Up by 1."
Alpha Squad (Unlocked at d10),Skill Add,(Once Per Episode) Two people roll the same skill and add the totals together.
Alpha Squad (Unlocked at d10),Suit Up,(Once Per Episode) The group may 'suit up' and each take 2 Turbo Tokens.
Marauders (Unlocked at d10),+10,Beating an opponent by more than 10 means you defeat an additional opponent.
Marauders (Unlocked at d10),Destroyer,Gain a Turbo Token on any turn where you destroy an object.
Marauders (Unlocked at d10),Firestarter,"Start a fire, short circuit electronics, or dissolve a structure as part of any action."
The Ones (Unlocked at d12),Max Roll,(Once Per Episode) Treat a Nat 1 as a max die roll.
The Ones (Unlocked at d12),Reroll,(Once Per Episode) Reroll a failure with a different skill.
The Ones (Unlocked at d12),Turbo Tokens,(Once Per Episode) Accept a Nat 1 to gain half the Turbo Tokens of the die value.
Tactical Command (Unlocked at d12),Shared Tokens,(Once Per Episode) Spend Turbo Tokens across scenes.
Tactical Command (Unlocked at d12),Reroll,(Once Per Episode) Reroll on a failure.
Tactical Command (Unlocked at d12),Token Gain,Characters gain a Turbo Token at the end of a scene where they have zero.
Bustin' Makes Me Feel Good (Unlocked at d20),Track Restart,"(On a Nat 20) Restart that skill track, now rolling a second die and taking the better result."
Bustin' Makes Me Feel Good (Unlocked at d20),Group Explosion,(On a Nat 20) Everybody else at the table graduates all of their lowest die type up by one.
Bustin' Makes Me Feel Good (Unlocked at d20),GM,(On a Nat 20) Become the GM for 60 seconds.
